[2022-04-27 21:53:52.891] [info]  search indexing: 2.6443026ms
[2022-04-27 22:25:26.208] [info]  search indexing: 4.2701917ms
[2022-04-28 18:45:17.599] [info]  search indexing: 1.9374687ms
[2022-04-29 20:40:58.877] [info]  search indexing: 1.6841659ms
[2022-04-29 23:05:30.159] [info]  search indexing: 1.9429524ms
[2022-04-30 16:55:20.115] [info]  search indexing: 2.3513281ms
[2022-04-30 20:48:14.957] [info]  search indexing: 3.5451784ms
[2022-04-30 21:15:16.245] [info]  search indexing: 2.9191878ms
[2022-05-01 11:35:34.104] [info]  search indexing: 4.401824ms
[2022-05-01 20:20:51.965] [info]  search indexing: 2.4252218ms
[2022-05-02 18:20:29.134] [info]  search indexing: 3.4616505ms
[2022-05-03 20:26:23.981] [info]  search indexing: 4.1850164ms
[2022-05-03 20:37:56.533] [info]  search indexing: 3.7328371ms
[2022-05-04 11:39:05.432] [info]  search indexing: 3.7406522ms
[2022-05-04 13:30:08.372] [info]  search indexing: 2.6859654ms
[2022-05-04 17:30:31.996] [info]  search indexing: 2.4480294ms
[2022-05-04 20:27:18.927] [info]  search indexing: 2.187882ms
[2022-05-04 20:42:58.249] [info]  search indexing: 2.5330528ms
[2022-05-04 22:02:10.331] [info]  search indexing: 2.0960115ms
[2022-05-05 18:24:57.646] [info]  search indexing: 2.6453685ms
[2022-05-06 16:17:16.727] [info]  search indexing: 1.5634666ms
[2022-05-06 20:57:38.979] [info]  search indexing: 2.8037694ms
[2022-05-07 12:21:26.770] [info]  search indexing: 1.5398878ms
[2022-05-07 16:35:36.044] [info]  search indexing: 2.3824218ms
[2022-05-07 19:01:17.747] [info]  search indexing: 3.4585897ms
[2022-05-07 20:08:14.424] [info]  search indexing: 4.6079792ms
[2022-05-08 12:30:42.155] [info]  search indexing: 1.752684ms
[2022-05-08 16:09:49.391] [info]  search indexing: 2.0419394ms
[2022-05-08 17:01:47.898] [info]  search indexing: 1.7221059ms
[2022-05-08 22:08:48.648] [info]  search indexing: 1.5921906ms
[2022-05-09 17:18:12.354] [info]  search indexing: 3.3066008ms
[2022-05-10 19:59:58.024] [info]  search indexing: 2.2623797ms
[2022-05-11 15:59:55.854] [info]  search indexing: 2.0906197ms
[2022-05-11 17:02:14.346] [info]  search indexing: 3.5925851ms
[2022-05-11 19:57:35.152] [info]  search indexing: 1.533742ms
[2022-05-11 20:05:26.937] [info]  search indexing: 3.9868278ms
[2022-05-12 14:51:58.223] [info]  search indexing: 3.130151ms
[2022-05-12 14:52:06.844] [info]  search indexing: 1.5521167ms
